"","spam","to_multiple","from","cc","sent_email","image","attach","dollar","winner","inherit","password","num_char","line_breaks","format","re_subj","exclaim_subj","urgent_subj","exclaim_mess","number"
"67",0,"no","yes","no","yes","no","no","no","no","no","no",0.988,25,"HTML","no","no","no",2,"small"
"68",0,"no","yes","no","yes","no","no","no","no","no","no",0.159,11,"Plain","yes","no","no",0,"small"
"69",0,"no","yes","no","yes","no","no","no","no","no","no",2.828,80,"HTML","yes","no","no",4,"small"
"70",0,"no","yes","no","no","no","no","yes","no","no","no",22.393,411,"HTML","no","no","no",49,"small"
"71",0,"no","yes","no","no","no","no","yes","no","no","no",7.844,142,"HTML","no","yes","no",6,"small"
"72",0,"yes","yes","no","yes","no","no","no","yes","no","no",4.77,134,"HTML","yes","no","no",10,"small"
"73",0,"no","yes","no","no","no","no","no","no","no","no",0.795,30,"Plain","no","no","no",1,"none"
"74",0,"no","yes","yes","no","no","no","no","no","no","no",0.829,22,"Plain","no","no","no",0,"small"
"75",0,"no","yes","no","yes","no","no","no","no","no","no",0.432,13,"HTML","no","no","no",0,"small"
"76",0,"no","yes","no","no","no","no","yes","no","no","no",16.615,557,"HTML","no","no","no",3,"small"
"77",0,"no","yes","no","yes","no","no","no","no","no","no",1.732,54,"HTML","yes","no","no",0,"small"
"78",0,"yes","yes","no","no","no","yes","no","no","no","no",8.596,159,"HTML","no","no","no",0,"small"
"79",0,"no","yes","no","no","no","no","no","no","no","no",2.938,81,"HTML","yes","no","no",4,"small"
"80",0,"no","yes","no","no","no","no","yes","no","no","no",4.103,173,"HTML","no","no","no",0,"small"
"81",0,"no","yes","no","yes","no","no","no","no","no","no",0.599,16,"HTML","no","no","no",0,"none"
"82",0,"no","yes","yes","no","no","yes","no","no","no","no",3.485,108,"Plain","yes","no","no",0,"small"
"83",0,"yes","yes","yes","no","no","no","no","no","no","no",4.512,107,"HTML","no","no","no",0,"small"
"84",0,"no","yes","no","no","yes","yes","yes","no","no","no",4.761,151,"HTML","no","no","no",1,"big"
"85",0,"yes","yes","no","yes","no","no","no","no","no","no",0.64,19,"HTML","no","no","no",0,"none"
"86",0,"no","yes","no","no","no","no","no","no","no","no",4.04,76,"HTML","no","no","no",4,"small"
"87",0,"no","yes","yes","yes","no","no","no","no","no","no",1.401,41,"HTML","yes","no","no",0,"small"
"88",0,"no","yes","yes","yes","no","no","no","no","no","no",9.273,248,"HTML","yes","no","no",0,"small"
"89",0,"no","yes","no","no","no","no","no","no","no","yes",89.27,1582,"HTML","no","no","no",139,"big"
"90",0,"yes","yes","no","yes","no","no","no","no","no","no",1.389,37,"HTML","no","yes","no",8,"small"
"91",0,"no","yes","no","no","no","no","yes","no","no","no",8.475,279,"HTML","no","no","no",2,"small"
"92",0,"no","yes","yes","yes","yes","yes","no","no","no","no",0.623,17,"HTML","yes","no","no",4,"big"
"93",0,"no","yes","yes","yes","no","no","no","no","no","no",1.132,33,"HTML","yes","no","no",4,"small"
"94",0,"no","yes","yes","yes","no","no","no","no","no","no",2.753,68,"HTML","yes","yes","no",16,"small"
"95",0,"no","yes","no","yes","no","no","yes","no","no","no",6.133,143,"HTML","yes","no","no",0,"small"
"96",0,"no","yes","no","yes","no","no","no","no","no","no",1.589,38,"HTML","yes","no","no",0,"small"
"97",0,"no","yes","no","yes","no","no","no","no","no","no",0.932,21,"HTML","no","no","no",2,"none"
"98",0,"no","yes","no","no","no","no","no","no","no","no",8.756,145,"HTML","no","no","no",1,"small"
"99",0,"no","yes","no","no","no","no","no","no","no","no",3.621,82,"HTML","no","no","no",0,"small"
"100",0,"no","yes","no","no","no","yes","no","no","no","no",10.398,130,"HTML","no","no","no",2,"small"
"101",0,"no","yes","no","no","no","no","no","no","no","no",2.454,61,"Plain","no","no","no",1,"small"
"102",0,"no","yes","no","yes","no","yes","no","no","no","no",0.347,18,"Plain","no","no","no",0,"small"
"103",0,"no","yes","no","no","no","no","yes","no","no","no",17.405,233,"HTML","no","no","no",18,"small"
"104",0,"no","yes","no","no","no","no","no","no","no","no",10.952,309,"HTML","no","no","no",3,"big"
"105",0,"no","yes","no","no","no","no","no","no","no","no",15.829,242,"HTML","no","no","no",4,"small"
"106",0,"yes","yes","yes","no","no","no","no","no","no","no",2.927,74,"Plain","yes","no","no",1,"small"
"107",0,"yes","yes","yes","no","no","no","no","no","no","no",15.038,297,"HTML","yes","no","no",4,"big"
"108",0,"yes","yes","no","yes","no","no","yes","no","no","no",2.404,75,"HTML","no","no","no",4,"small"
"109",0,"no","yes","yes","yes","no","no","yes","no","no","no",4.373,120,"HTML","yes","no","no",7,"small"
"110",0,"no","yes","no","yes","no","no","no","no","no","no",4.995,130,"HTML","yes","no","no",8,"small"
"111",0,"yes","yes","yes","no","no","no","no","no","no","no",4.337,94,"Plain","yes","no","no",1,"small"
"112",0,"no","yes","yes","no","no","no","no","no","no","no",4.736,109,"Plain","yes","no","no",2,"small"
"113",0,"no","yes","no","no","no","no","no","no","no","no",3.215,183,"HTML","no","no","no",0,"big"
"114",0,"no","yes","no","yes","no","no","no","no","no","no",16.51,394,"HTML","yes","no","no",8,"small"
"115",0,"no","yes","no","no","no","no","no","no","no","no",6.717,114,"HTML","no","no","no",1,"small"
"116",0,"no","yes","no","yes","no","no","no","no","no","no",21.705,551,"HTML","yes","no","no",8,"small"
"117",0,"no","yes","no","yes","no","no","no","no","no","no",27.071,721,"HTML","yes","no","no",10,"small"
"118",0,"no","yes","yes","no","no","no","no","no","no","no",6.056,141,"Plain","yes","no","no",3,"small"
"119",0,"no","yes","no","no","no","no","no","no","no","no",1.653,25,"HTML","no","no","no",0,"small"
"120",0,"no","yes","no","yes","no","no","no","no","no","no",31.112,875,"HTML","yes","no","no",16,"small"
"121",0,"no","yes","no","yes","no","no","no","no","no","no",7.193,148,"HTML","yes","no","no",10,"small"
"122",0,"no","yes","yes","yes","no","no","no","no","no","no",6.264,135,"HTML","yes","no","no",4,"big"
"123",0,"no","yes","no","yes","no","no","no","no","no","no",12.862,333,"HTML","yes","no","no",4,"small"
"124",0,"no","yes","yes","yes","no","no","no","no","no","no",7.861,242,"HTML","yes","no","no",7,"small"
"125",0,"no","yes","no","yes","no","no","no","no","no","no",17.06,426,"HTML","yes","no","no",8,"small"
"126",0,"yes","yes","no","yes","no","no","no","no","no","no",5.887,89,"Plain","no","no","no",0,"small"
"127",0,"no","yes","no","no","no","no","no","no","no","no",23.172,456,"HTML","no","no","no",57,"small"
"128",0,"no","yes","no","no","no","no","no","no","no","no",8.544,172,"HTML","no","no","no",2,"big"
"129",0,"no","yes","no","no","no","no","yes","no","no","no",1.041,31,"Plain","no","no","no",2,"small"
"130",0,"no","yes","no","no","no","no","yes","no","no","no",1.041,31,"Plain","no","no","no",2,"small"
"131",0,"no","yes","no","no","no","no","yes","no","no","yes",17.853,345,"HTML","no","yes","no",18,"small"
"132",0,"no","yes","no","no","no","no","yes","no","no","yes",17.853,345,"HTML","no","yes","no",18,"small"
"133",0,"no","yes","no","no","no","no","no","no","no","no",24.202,680,"HTML","no","no","no",4,"small"
"134",0,"yes","yes","no","no","no","no","no","no","no","no",8.347,202,"HTML","no","no","no",5,"big"
"135",0,"no","yes","no","yes","no","no","no","no","no","no",44.591,1307,"HTML","no","no","no",36,"big"
"136",0,"no","yes","no","yes","no","no","no","no","no","no",9.374,252,"HTML","yes","no","no",2,"big"
"137",0,"no","yes","no","no","no","no","no","no","no","no",3.416,57,"HTML","no","no","no",0,"big"
"138",0,"no","yes","no","yes","no","no","yes","no","no","no",11.615,210,"HTML","yes","no","no",4,"small"
"139",0,"no","yes","yes","yes","no","no","yes","no","no","no",4.01,118,"HTML","yes","no","no",6,"small"
"140",0,"yes","yes","no","no","no","no","no","no","no","no",9.816,130,"Plain","no","no","no",0,"small"
"141",0,"no","yes","no","no","no","no","yes","no","no","no",10.996,213,"HTML","no","no","no",5,"big"
"142",0,"no","yes","no","no","no","no","no","no","no","no",6.39,154,"HTML","no","yes","no",0,"none"
"143",0,"no","yes","no","no","no","no","yes","no","no","no",20.191,266,"HTML","no","yes","no",30,"small"
"144",0,"yes","yes","no","yes","yes","yes","no","no","no","no",21.634,691,"HTML","no","no","no",15,"big"
"145",0,"yes","yes","no","yes","no","no","no","no","no","no",9.754,327,"HTML","no","no","no",9,"big"
"146",0,"no","yes","no","no","no","no","no","no","no","yes",10.366,198,"HTML","no","no","no",1,"big"
"147",0,"no","yes","no","no","no","no","yes","no","yes","no",7.764,192,"HTML","no","no","no",6,"small"
"148",0,"no","yes","no","no","no","no","no","no","no","no",13.437,255,"HTML","no","no","no",45,"small"
"149",0,"no","yes","no","yes","no","no","no","no","no","no",3.186,67,"HTML","yes","no","no",0,"small"
"150",0,"yes","yes","no","yes","no","no","no","no","no","no",17.835,568,"HTML","yes","no","no",11,"big"
"151",0,"yes","yes","no","no","yes","yes","no","no","no","no",5.159,82,"Plain","no","no","no",0,"small"
"152",0,"no","yes","yes","yes","no","no","no","no","no","no",9.871,340,"HTML","no","no","no",11,"big"
"153",0,"no","yes","no","no","no","no","no","no","no","no",6.19,126,"HTML","no","no","no",0,"small"
"154",0,"no","yes","no","no","no","no","no","no","no","no",8.768,152,"HTML","no","no","no",4,"small"
"155",0,"no","yes","no","no","no","no","yes","no","no","no",1.594,51,"Plain","no","yes","no",0,"small"
"156",0,"no","yes","yes","no","no","no","no","no","no","no",14.345,303,"HTML","yes","no","no",4,"big"
"157",0,"no","yes","no","yes","no","no","no","no","no","no",0.342,11,"Plain","yes","no","no",0,"small"
"158",0,"no","yes","no","yes","no","no","no","no","no","no",6.64,99,"Plain","yes","no","no",3,"small"
"159",0,"no","yes","no","no","no","no","yes","no","no","no",10.366,177,"HTML","no","yes","no",12,"small"
"160",0,"no","yes","no","yes","no","no","no","no","no","no",12.374,190,"Plain","yes","no","no",5,"small"
"161",0,"no","yes","no","yes","no","no","no","no","no","no",16.689,254,"Plain","yes","no","no",5,"small"
"162",0,"no","yes","yes","yes","no","no","no","no","no","yes",4.945,120,"HTML","no","no","no",2,"small"
"163",0,"no","yes","no","no","no","no","no","no","no","no",1.384,27,"HTML","no","no","no",2,"small"
"164",0,"no","yes","yes","yes","no","no","no","no","no","no",0.958,20,"HTML","no","yes","no",4,"none"
"165",0,"no","yes","no","yes","no","no","no","no","no","no",3.492,75,"HTML","yes","no","no",2,"small"
"166",0,"yes","yes","no","yes","no","yes","no","no","no","no",5.834,127,"HTML","no","no","no",5,"small"
"167",0,"yes","yes","no","yes","no","no","no","no","no","no",2.71,74,"HTML","no","no","no",0,"small"
"168",0,"no","yes","yes","yes","no","no","no","no","no","no",3.231,91,"HTML","yes","no","no",0,"small"
"169",0,"no","yes","no","no","no","no","no","no","no","no",3.717,72,"HTML","no","no","no",0,"small"
"170",0,"no","yes","yes","yes","no","no","no","no","no","no",33.748,815,"HTML","yes","no","no",71,"big"
"171",0,"yes","yes","no","no","no","no","no","no","no","no",2.93,45,"Plain","no","yes","no",3,"small"
"172",0,"yes","yes","no","no","no","no","no","no","no","no",8.014,113,"Plain","no","no","no",0,"small"
"173",0,"yes","yes","yes","no","no","no","no","no","no","no",4.462,85,"Plain","no","no","no",0,"small"
"174",0,"no","yes","no","no","no","no","yes","no","no","no",26.777,435,"HTML","no","yes","no",7,"small"
"175",0,"no","yes","no","no","no","no","no","no","no","no",17.292,390,"HTML","no","no","no",29,"small"
"176",0,"no","yes","no","no","no","no","no","no","no","no",10.004,197,"HTML","no","no","no",0,"big"
"177",0,"no","yes","no","no","no","no","yes","no","no","no",101.727,2189,"HTML","no","no","no",23,"small"
"178",0,"no","yes","yes","yes","no","no","no","no","no","no",4.823,135,"HTML","yes","no","no",0,"small"
"179",0,"no","yes","no","yes","no","no","yes","no","no","no",3.21,77,"HTML","yes","no","no",0,"small"
"180",0,"no","yes","yes","yes","no","no","no","no","no","no",3.334,73,"HTML","yes","yes","no",12,"small"
"181",0,"no","yes","no","no","no","no","no","no","no","yes",1.501,45,"HTML","no","no","no",1,"small"
"182",0,"no","yes","no","no","no","no","no","no","no","yes",10.366,198,"HTML","no","no","no",1,"big"
"183",0,"no","yes","no","no","no","no","yes","no","no","no",14.221,201,"HTML","no","no","no",24,"small"
"184",0,"no","yes","no","no","no","no","no","no","no","no",4.792,104,"HTML","no","no","no",0,"small"
"185",0,"no","yes","no","no","no","no","yes","no","no","no",49.042,828,"HTML","no","no","no",1,"small"
"186",0,"no","yes","no","no","yes","yes","no","no","no","no",7.974,104,"Plain","no","no","no",0,"none"
"187",0,"no","yes","no","no","no","no","yes","no","yes","no",7.734,192,"HTML","no","no","no",6,"small"
"188",0,"no","yes","no","no","no","no","no","no","no","no",13.484,255,"HTML","no","no","no",45,"small"
"189",0,"yes","yes","no","no","no","no","no","no","no","no",2.881,50,"Plain","no","no","no",0,"small"
"190",0,"yes","yes","no","no","no","no","no","no","no","no",3.943,47,"Plain","no","no","no",0,"small"
"191",0,"no","yes","no","no","no","no","yes","no","no","no",22.344,411,"HTML","no","no","no",49,"small"
"192",0,"no","yes","no","no","no","no","yes","no","no","no",8.666,145,"HTML","no","yes","no",8,"small"
"193",0,"no","yes","no","no","no","no","no","no","no","no",5.066,106,"HTML","no","yes","no",0,"small"
"194",0,"yes","yes","no","no","no","no","no","no","no","no",4.415,61,"Plain","no","no","no",1,"small"
"195",0,"no","yes","no","yes","no","no","no","no","no","no",2.174,49,"HTML","yes","no","no",2,"small"
"196",0,"no","yes","no","yes","no","no","no","no","no","no",0.368,12,"HTML","no","no","no",0,"small"
"197",0,"no","yes","no","yes","no","no","no","no","no","no",1.567,48,"HTML","yes","no","no",0,"small"
"198",0,"no","yes","no","yes","no","no","no","no","no","no",1.16,34,"HTML","yes","no","no",0,"small"
"199",0,"no","yes","no","no","no","no","no","no","no","no",3.271,64,"HTML","no","no","no",4,"none"
"200",0,"no","yes","no","no","no","no","no","no","no","yes",10.366,198,"HTML","no","no","no",1,"big"
"201",0,"no","yes","no","yes","no","no","no","no","no","no",0.441,16,"HTML","yes","no","no",0,"small"
"202",0,"no","yes","no","yes","no","no","no","no","no","no",0.122,7,"Plain","yes","no","no",0,"small"
"203",0,"yes","yes","no","no","no","no","no","no","no","no",9.961,210,"HTML","no","no","no",0,"big"
"204",0,"no","yes","no","no","no","no","no","no","no","no",3.872,89,"HTML","no","no","no",0,"big"
"205",0,"no","yes","no","no","no","no","no","no","no","no",3.243,37,"HTML","no","no","no",1,"small"
"206",0,"no","yes","no","no","no","no","no","no","no","no",33.63,375,"HTML","no","no","no",8,"small"
"207",0,"no","yes","no","no","no","no","no","no","no","no",8.763,145,"HTML","no","no","no",3,"small"
"208",0,"no","yes","no","no","no","no","no","no","no","no",8.535,208,"HTML","no","no","no",0,"small"
"209",0,"no","yes","no","no","no","no","yes","no","yes","no",10.017,238,"HTML","no","no","no",7,"small"
"210",0,"no","yes","no","yes","no","no","yes","no","no","no",2.088,29,"HTML","no","no","no",0,"big"
"211",0,"no","yes","no","no","no","no","yes","no","no","no",17.17,578,"HTML","no","no","no",3,"small"
"212",0,"no","yes","no","no","no","no","no","no","no","no",11.05,260,"HTML","no","no","no",3,"small"
"213",0,"no","yes","no","yes","no","no","yes","no","no","no",4.607,84,"HTML","yes","no","no",2,"big"
"214",0,"no","yes","no","no","no","no","no","no","no","no",6.724,114,"HTML","no","no","no",1,"small"
"215",0,"yes","yes","no","yes","yes","yes","no","no","no","no",7.335,251,"HTML","no","no","no",6,"big"
"216",0,"no","yes","no","no","no","no","no","no","no","no",9.635,164,"HTML","no","no","no",1,"small"
"217",0,"no","yes","no","no","no","no","no","no","no","no",16.043,256,"HTML","no","no","no",1,"small"
"218",0,"no","yes","no","no","no","no","no","no","no","no",7.515,126,"HTML","no","no","no",1,"small"
"219",0,"no","yes","no","no","no","no","no","no","no","no",16.022,255,"HTML","no","no","no",1,"small"
"220",0,"yes","yes","no","no","no","no","no","no","no","no",1.228,30,"Plain","no","no","no",2,"small"
"221",0,"no","yes","no","no","no","no","no","no","no","no",6.832,116,"HTML","no","no","no",1,"small"
"222",0,"no","yes","no","yes","no","no","no","no","no","no",0.789,22,"Plain","yes","no","no",0,"small"
"223",0,"yes","yes","no","no","no","no","no","no","no","no",5.339,95,"HTML","no","no","no",4,"big"
"224",0,"no","yes","no","no","no","no","no","no","no","no",8.693,175,"HTML","no","no","no",0,"big"
"225",0,"no","yes","no","no","no","no","no","no","no","no",6.846,116,"HTML","no","no","no",1,"small"
"226",0,"no","yes","no","no","no","no","no","no","no","no",15.909,254,"HTML","no","no","no",1,"small"
"227",0,"no","yes","no","no","no","no","no","no","no","no",8.504,142,"HTML","no","no","no",1,"small"
"228",0,"no","yes","no","no","no","no","no","no","no","no",6.854,116,"HTML","no","no","no",1,"small"
"229",0,"yes","yes","yes","no","no","no","no","no","no","no",5.223,91,"Plain","no","no","no",0,"small"
"230",0,"yes","yes","no","no","no","no","no","no","no","no",1.683,34,"HTML","no","yes","no",6,"small"
"231",0,"no","yes","no","no","no","no","no","no","no","no",8.553,143,"HTML","no","no","no",1,"small"
"232",0,"no","yes","yes","yes","no","no","no","no","no","no",3.388,77,"HTML","yes","yes","no",10,"small"
"233",0,"no","yes","no","no","no","no","no","no","no","no",8.002,134,"HTML","no","no","no",1,"small"
"234",0,"no","yes","no","yes","no","no","no","no","no","no",2.937,64,"Plain","yes","no","no",2,"small"
"235",0,"no","yes","yes","yes","no","no","no","no","no","no",6.202,130,"HTML","yes","no","no",6,"big"
"236",0,"no","yes","no","no","no","no","no","no","no","no",16.204,257,"HTML","no","no","no",1,"small"
"237",0,"no","yes","yes","no","no","no","no","no","no","no",7.39,101,"HTML","yes","no","no",6,"big"
"238",0,"no","yes","yes","no","no","no","no","no","no","no",4.465,102,"HTML","yes","yes","no",10,"small"
"239",0,"no","yes","yes","yes","no","no","no","no","no","no",7.411,178,"HTML","yes","yes","no",14,"small"
"240",0,"no","yes","no","no","no","no","no","no","no","no",13.338,255,"HTML","no","no","no",45,"small"
"241",0,"no","yes","no","no","no","no","yes","no","no","no",26.404,405,"HTML","no","no","no",13,"small"
"242",0,"no","yes","no","no","no","no","no","no","no","no",6.804,115,"HTML","no","no","no",1,"small"
"243",0,"no","yes","no","no","no","no","no","no","no","no",6.83,116,"HTML","no","no","no",1,"small"
"244",0,"no","yes","no","no","no","no","no","no","no","no",5.254,92,"HTML","no","no","no",3,"small"
"245",0,"no","yes","no","no","no","no","yes","no","no","no",16.659,262,"HTML","no","yes","no",20,"small"
"246",0,"no","yes","yes","yes","no","no","no","no","no","no",8.527,211,"HTML","yes","yes","no",20,"small"
"247",0,"no","yes","no","no","no","no","no","no","no","no",13.116,211,"HTML","no","no","no",1,"small"
"248",0,"no","yes","no","no","no","no","no","no","no","no",3.81,98,"HTML","no","no","no",0,"small"
"249",0,"no","yes","no","no","no","no","no","no","no","no",7.612,128,"HTML","no","no","no",1,"small"
"250",0,"no","yes","no","no","no","no","no","no","no","no",9.27,151,"HTML","no","no","no",1,"small"
"251",0,"no","yes","no","no","no","no","no","no","no","no",5.266,145,"HTML","no","no","no",4,"small"
"252",0,"no","yes","yes","yes","no","no","no","no","no","yes",13.404,292,"HTML","yes","no","no",4,"small"
"253",0,"no","yes","yes","yes","no","no","yes","no","no","no",1.39,29,"Plain","no","no","no",0,"small"
"254",0,"no","yes","yes","yes","no","no","no","no","no","no",0.878,27,"HTML","yes","no","no",2,"small"
"255",0,"no","yes","no","no","no","no","no","no","no","no",6.877,117,"HTML","no","no","no",1,"small"
"256",0,"no","yes","no","no","no","no","no","no","no","no",3.928,91,"HTML","no","no","no",0,"small"
"257",0,"no","yes","no","no","no","no","yes","no","yes","no",7.805,194,"HTML","no","no","no",6,"small"
"258",0,"no","yes","no","yes","no","no","no","no","no","no",2.705,46,"Plain","yes","no","no",1,"none"
"259",0,"yes","yes","no","no","no","no","no","no","no","no",5.151,95,"Plain","no","no","no",0,"small"
"260",0,"no","yes","no","no","no","no","yes","no","no","no",4.56,98,"HTML","no","no","no",2,"big"
"261",0,"yes","yes","no","yes","no","no","no","no","no","no",5.887,89,"Plain","no","no","no",0,"small"
"262",0,"no","yes","no","no","no","no","no","no","no","no",5.255,106,"HTML","no","no","no",4,"small"
"263",0,"no","yes","no","no","no","no","no","no","no","no",5.682,87,"HTML","no","no","no",0,"small"
"264",0,"no","yes","no","yes","no","no","no","no","no","no",2.8,63,"HTML","yes","no","no",2,"small"
"265",0,"yes","yes","no","yes","no","no","no","no","no","no",0.406,13,"HTML","no","no","no",0,"none"
"266",0,"no","yes","no","yes","no","no","no","no","no","no",5.6,140,"HTML","yes","no","no",4,"small"
"267",0,"yes","yes","no","no","no","no","no","no","no","no",3.991,47,"Plain","no","no","no",0,"small"
"268",0,"no","yes","no","no","no","no","no","no","no","yes",23.747,396,"HTML","no","no","no",8,"big"
